title,price,link,unit_sold,rating_count,stars
Atomic Habits By James Clear : Self Development Books | Atomic Habits English Edition | Self Help Books,Rs. 105,https://www.daraz.com.np/products/atomic-habits-by-james-clear-self-development-books-atomic-habits-english-edition-self-help-books-i151969526.html,783 sold,109,4
How To Win Friends And Influence People,Rs. 131,https://www.daraz.com.np/products/how-to-win-friends-and-influence-people-i132006088.html,193 sold,30,4
Atomic Habits By James Clear - Self Development Books | Atomic Habits English Edition | Self Help Books |,Rs. 110,https://www.daraz.com.np/products/atomic-habits-by-james-clear-self-development-books-atomic-habits-english-edition-self-help-books-i128282370.html,3.4K sold,866,4
Rich Dad And Poor Dad By Robert T Kiyosaki,Rs. 146,https://www.daraz.com.np/products/rich-dad-and-poor-dad-by-robert-t-kiyosaki-i128285011.html,1.3K sold,254,4
I don't love you anymore by Rithvik Singh( Best selling book),Rs. 185,https://www.daraz.com.np/products/i-dont-love-you-anymore-by-rithvik-singh-i145641869.html,882 sold,103,4
The Art Of Not Overthinking,Rs. 149,https://www.daraz.com.np/products/the-art-of-not-overthinking-i168513505.html,267 sold,32,4
Don't Believe Everything You Think: Why Your Thinking Is The Beginning & End Of Suffering (Beyond Suffering) By Joseph Nguyen,Rs. 153,https://www.daraz.com.np/products/dont-believe-everything-you-think-why-your-thinking-is-the-beginning-end-of-suffering-beyond-suffering-by-joseph-nguyen-i158076379.html,39 sold,5,5
I Don't Love You Anymore By Rithvik Singh,Rs. 130,https://www.daraz.com.np/products/i-dont-love-you-anymore-by-rithvik-singh-i156541621.html,108 sold,19,4
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Rs. 108,https://www.daraz.com.np/products/rich-dad-poor-dad-what-the-rich-teach-their-kids-about-money-that-the-poor-and-middle-class-do-not-i127846158.html,2.2K sold,398,4
The Psychology of Money By Morgan Housel,Rs. 580,https://www.daraz.com.np/products/the-psychology-of-money-by-morgan-housel-i108752433.html,1.9K sold,456,4
Child Stories Nepali+ English,Rs. 675,https://www.daraz.com.np/products/child-stories-nepali-english-i129192360.html,103 sold,11,4
Read People Like a Book By Patrick King,Rs. 427,https://www.daraz.com.np/products/read-people-like-a-book-by-patrick-king-i128452822.html,257 sold,40,4
The Power of Your Subconscious Mind By Joseph Murphy,Rs. 155,https://www.daraz.com.np/products/the-power-of-your-subconscious-mind-by-joseph-murphy-i128279962.html,1.6K sold,408,4
Rich Dad Poor Dad Book By Robert Kiyosaki,Rs. 142,https://www.daraz.com.np/products/rich-dad-poor-dad-book-by-robert-kiyosaki-i115699005.html,737 sold,153,4
ACE The Entrance: +2 Entrance Guide (2082 Edition BLUE BOOK) by Alumni of St. Xavier's College,Rs. 650,https://www.daraz.com.np/products/ace-the-entrance-2-entrance-guide-2082-edition-blue-book-by-alumni-of-st-xaviers-college-i312612823.html,63 sold,9,5
Srimad Bhagavad Gita Yatharup - Nepali,Rs. 540,https://www.daraz.com.np/products/srimad-bhagavad-gita-yatharup-nepali-i103484960.html,1.0K sold,239,4
